,precision,recall,f1-score,support
cardboard,0.9230769230769231,0.8780487804878049,0.9,41.0
glass,0.8245614035087719,0.9215686274509803,0.8703703703703703,51.0
metal,0.8372093023255814,0.8780487804878049,0.8571428571428571,41.0
paper,0.9152542372881356,0.9,0.907563025210084,60.0
plastic,0.8863636363636364,0.7959183673469388,0.8387096774193549,49.0
accuracy,0.8760330578512396,0.8760330578512396,0.8760330578512396,0.8760330578512396
macro avg,0.8772931005126099,0.8747169111547057,0.8747571860285331,242.0
weighted avg,0.8783943770229603,0.8760330578512396,0.8759599245367746,242.0
