accuracy,loss,val_accuracy,val_loss,learning_rate
0.6350785493850708,0.9126735925674438,0.7815126180648804,0.5530059933662415,0.0010000000474974513
0.8078534007072449,0.5268438458442688,0.8571428656578064,0.3967019319534302,0.0010000000474974513
0.8308900594711304,0.47713515162467957,0.8697478771209717,0.3802742063999176,0.0010000000474974513
0.8560209274291992,0.3818446099758148,0.8697478771209717,0.3666037619113922,0.0010000000474974513
0.8664921522140503,0.36902835965156555,0.8739495873451233,0.3901047706604004,0.0010000000474974513
0.8680628538131714,0.34519925713539124,0.8781512379646301,0.385262668132782,0.0010000000474974513
0.8748691082000732,0.3149816393852234,0.8781512379646301,0.39701420068740845,0.0010000000474974513
0.8989529013633728,0.2761836051940918,0.8907563090324402,0.3491469919681549,0.0003000000142492354
0.9015706777572632,0.25875046849250793,0.8991596698760986,0.3534160852432251,0.0003000000142492354
0.9109947681427002,0.24541179835796356,0.8907563090324402,0.3498133420944214,0.0003000000142492354
0.9162303805351257,0.2339477241039276,0.894957959651947,0.3505333960056305,0.0003000000142492354
0.9078534245491028,0.24397864937782288,0.8991596698760986,0.3476688265800476,9.000000136438757e-05
0.9146596789360046,0.22634607553482056,0.894957959651947,0.350737065076828,9.000000136438757e-05
0.9246073365211487,0.20927242934703827,0.8991596698760986,0.34823131561279297,9.000000136438757e-05
0.9198952913284302,0.22405877709388733,0.9075630307197571,0.33904948830604553,9.000000136438757e-05
